序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
14,000555,神州信息,2025-11-03,买一主买，成功率50.92%,20.85,10.0264,325747200.83,611199688.17,285452487.34,896652175.51,4294002471.0,7.586097190907,20.881501153426,22.4465,20264189267.7,日振幅值达到15%的前5只证券,5.03597122,1.96642686,-8.63309353,
15,000555,神州信息,2025-11-03,买一主买，成功率50.92%,20.85,10.0264,325747200.83,611199688.17,285452487.34,896652175.51,4294002471.0,7.586097190907,20.881501153426,22.4465,20264189267.7,日涨幅偏离值达到7%的前5只证券,5.03597122,1.96642686,-8.63309353,
16,000559,万向钱潮,2025-11-06,主力做T，成功率52.78%,13.86,10.0,236703387.1,404812169.2,168108782.1,572920951.3,2203987422.0,10.739779398796,25.994746865665,5.0015,45939582806.04,日涨幅偏离值达到7%的前5只证券,-1.15440115,0.64935065,3.96825397,
17,000572,海马汽车,2025-11-12,1家机构卖出，成功率24.54%,9.13,-8.2412,-12448854.34,495472107.6,507920961.94,1003393069.54,4251798871.0,-0.292790292243,23.599259983434,27.0816,14993770501.71,日跌幅偏离值达到7%的前5只证券,9.96714129,19.82475356,,
18,000572,海马汽车,2025-11-10,主力做T，成功率34.23%,10.15,2.5253,-195283622.23,685707786.25,880991408.48,1566699194.73,7007458331.0,-2.786796767183,22.357595589247,40.2766,16668868630.05,日换手率达到20%的前5只证券,-1.97044335,-10.04926108,,
19,000572,海马汽车,2025-11-07,主力做T，成功率30.00%,9.9,10.0,235385584.48,704225234.91,468839650.43,1173064885.34,4523350169.0,5.20378868948,25.933541324733,28.1363,16258305363.3,日涨幅偏离值达到7%的前5只证券,2.52525253,0.50505051,10.50505051,
20,000572,海马汽车,2025-11-06,主力做T，成功率42.47%,9.0,2.3891,143681922.69,780278748.95,636596826.26,1416875575.21,6005519233.0,2.392497919255,23.592890476886,40.1849,14780277603.0,日振幅值达到15%的前5只证券,10.0,12.77777778,11.55555556,
21,000572,海马汽车,2025-11-06,主力做T，成功率42.47%,9.0,2.3891,143681922.69,780278748.95,636596826.26,1416875575.21,6005519233.0,2.392497919255,23.592890476886,40.1849,14780277603.0,日换手率达到20%的前5只证券,10.0,12.77777778,11.55555556,
22,000572,海马汽车,2025-11-05,1家机构买入，成功率46.04%,8.79,10.0125,92593680.6,291803680.72,199210000.12,491013680.84,2101646706.0,4.405768121524,23.363283630793,3.6687,14435404458.93,连续三个交易日内，涨幅偏离值累计达到20%的证券,2.3890785,12.62798635,3.86803185,
23,000572,海马汽车,2025-11-04,1家机构买入，成功率37.37%,7.99,10.0551,77738970.2,255172196.52,177433226.32,432605422.84,1575670011.0,4.933708813222,27.455331371411,12.1116,13121602005.33,日涨幅偏离值达到7%的前5只证券,10.01251564,12.640801,24.53066333,
24,000572,海马汽车,2025-11-03,1家机构买入，成功率48.34%,7.26,10.0,176755228.13,399932483.32,223177255.19,623109738.51,1983591366.0,8.910869000526,31.413210865428,8.7136,11922757266.42,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.05509642,21.07438017,39.80716253,
25,000592,平潭发展,2025-11-14,西藏自治区资金买入，成功率31.98%,10.88,10.0101,-100947477.83,152391531.37,253339009.2,405730540.57,3321704532.0,-3.039026405194,12.214528314043,16.5967,20836205845.12,日涨幅偏离值达到7%的前5只证券,,,,
26,000592,平潭发展,2025-11-14,西藏自治区资金买入，成功率21.93%,10.88,10.0101,-32070663.71,464450010.22,496520673.93,960970684.15,9214197668.0,-0.34805704051,10.429238863492,16.5967,20836205845.12,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
27,000592,平潭发展,2025-11-13,西藏自治区资金买入，成功率21.71%,9.89,10.0111,-8560150.02999997,341081594.41,349641744.44,690723338.85,5892493136.0,-0.145272125608,11.722089833759,32.6369,18940264320.61,日涨幅偏离值达到7%的前5只证券,10.01011122,,,
28,000592,平潭发展,2025-11-10,主力做T，成功率34.48%,8.56,-3.8202,-1163168.48000002,451577348.53,452740517.01,904317865.54,6260920255.0,-0.01857823503,14.443848966417,36.581,16393191363.44,日振幅值达到15%的前5只证券,6.89252336,5.02336449,,
29,000592,平潭发展,2025-11-07,西藏自治区资金买入，成功率26.22%,8.9,4.8292,-131407283.92,399641079.31,531048363.23,930689442.54,6575572014.0,-1.998416010656,14.153741158313,39.8192,17044322796.1,日换手率达到20%的前5只证券,-3.82022472,2.80898876,22.24719101,
30,000592,平潭发展,2025-11-06,主力做T，成功率30.88%,8.49,-9.9682,-161162361.27,320027878.44,481190239.71,801218118.15,5901089686.0,-2.731061038648,13.577460448548,35.1585,16259134892.01,日跌幅偏离值达到7%的前5只证券,4.82921084,0.82449941,16.48998822,
31,000592,平潭发展,2025-11-05,西藏自治区资金买入，成功率27.93%,9.43,10.035,-273044223.33,325515928.07,598560151.4,924076079.47,5783565560.0,-4.72103619294,15.977619167336,32.5069,18059321794.07,日涨幅偏离值达到7%的前5只证券,-9.96818664,-5.62036055,-4.6659597,
32,000592,平潭发展,2025-11-05,西藏自治区资金买入，成功率30.09%,9.43,10.035,-302409575.9,488781324.63,791190900.53,1279972225.16,8899980324.0,-3.397867915331,14.381742190018,32.5069,18059321794.07,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.96818664,-5.62036055,-4.6659597,
33,000592,平潭发展,2025-11-05,西藏自治区资金买入，成功率27.93%,9.43,10.035,-273044223.33,325515928.07,598560151.4,924076079.47,5783565560.0,-4.72103619294,15.977619167336,32.5069,18059321794.07,日换手率达到20%的前5只证券,-9.96818664,-5.62036055,-4.6659597,
34,000592,平潭发展,2025-11-04,西藏自治区资金买入，成功率29.86%,8.57,10.0128,-180688497.35,174811335.29,355499832.64,530311167.93,3116414764.0,-5.797960510176,17.016706956212,19.5497,16412342287.93,日涨幅偏离值达到7%的前5只证券,10.03500583,-0.93348891,6.76779463,
35,000592,平潭发展,2025-11-03,主力做T，成功率44.84%,7.79,10.0282,166371012.41,517541073.43,351170061.02,868711134.45,4615649366.0,3.604498505357,18.820994957917,7.6323,14918570177.71,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01283697,21.05263158,9.88446727,
36,000592,平潭发展,2025-11-03,主力做T，成功率10.37%,7.79,10.0282,0.0,14090615587.62,14090615587.62,28181231175.24,14090615587.62,0.0,200.0,7.6323,14918570177.71,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,10.01283697,21.05263158,9.88446727,
37,000593,德龙汇能,2025-11-13,1家机构卖出，成功率51.56%,10.5,-8.2168,6567311.63000001,119263593.4,112696281.77,231959875.17,903471313.0,0.726897637535,25.674293343058,23.9882,3764073274.5,日跌幅偏离值达到7%的前5只证券,-1.04761905,,,
38,000608,*ST阳光,2025-11-04,2家机构买入，成功率39.53%,2.31,5.0,-12379548.68,24721107.04,37100655.72,61821762.76,207932966.0,-5.953624823492,29.731583187247,3.9529,1721937661.29,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.32900433,-3.46320346,5.62770563,
39,000609,ST中迪,2025-11-12,普通席位买入，成功率75.80%,10.71,5.0,3278943.93,7382321.93,4103378.0,11485699.93,9409914.0,34.845631214058,122.059563243617,0.0546,3117234093.12,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
40,000609,ST中迪,2025-11-07,普通席位买入，成功率43.39%,9.25,4.9943,-11895492.16,42089483.0,53984975.16,96074458.16,540822918.0,-2.199517025645,17.764494617811,20.3591,2692289016.0,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,4.97297297,10.27027027,,
41,000609,ST中迪,2025-11-05,普通席位买入，成功率76.67%,8.39,5.0063,-1604130.0,14968062.0,16572192.0,31540254.0,56978658.0,-2.815317271951,55.354504839338,0.5888,2441978902.08,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,5.00595948,10.25029797,27.65196663,
42,000615,*ST美谷,2025-11-12,1家机构买入，成功率42.22%,4.54,5.0926,-10249532.0,26906649.0,37156181.0,64062830.0,227589066.0,-4.50352566586,28.148465620928,1.8001,3461751302.98,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,5.0660793,5.0660793,,
43,000619,海螺新材,2025-11-13,浙江资金卖出，成功率34.52%,7.72,-1.906,-9304558.0,50075783.0,59380341.0,109456124.0,845064799.0,-1.101046690267,12.95239419859,31.2102,2779200000.0,日振幅值达到15%的前5只证券,-6.47668394,,,
44,000619,海螺新材,2025-11-12,主力做T，成功率33.33%,7.87,10.0699,-62444344.45,54732511.0,117176855.45,171909366.45,557914909.0,-11.192449501291,30.812828923702,14.7011,2833200000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-1.90597205,-8.2592122,,
45,000620,盈新发展,2025-11-10,普通席位买入，成功率34.89%,3.48,10.1266,171994108.68,326690503.0,154696394.32,481386897.32,2215079582.0,7.764692071456,21.732261957169,13.7468,16257685876.2,日涨幅偏离值达到7%的前5只证券,-2.87356322,-8.62068966,,
46,000620,盈新发展,2025-11-07,1家机构卖出，成功率25.07%,3.16,-6.5089,-71424887.64,170744511.12,242169398.76,412913909.88,2425852695.0,-2.944320889196,17.021392549147,16.0236,14762726255.4,日振幅值达到15%的前5只证券,10.12658228,6.96202532,10.12658228,
47,000620,盈新发展,2025-11-04,买一主买，成功率54.74%,3.0,9.8901,155736200.87,301606176.0,145869975.13,447476151.13,1757021514.0,8.863647919453,25.467881159365,3.582,14015246445.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0,12.66666667,12.66666667,
48,000631,顺发恒能,2025-11-12,1家机构买入，成功率23.63%,3.95,10.0279,-43147671.9,91898347.75,135046019.65,226944367.4,783542997.0,-5.506739523575,28.96386902428,6.6067,9461352381.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.5443038,-5.56962025,,
49,000632,三木集团,2025-11-14,1家机构买入，成功率36.67%,7.95,9.9585,-7341862.06,195017911.43,202359773.49,397377684.92,1686134362.0,-0.435425682879,23.567379556197,32.8474,3700578767.7,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
50,000632,三木集团,2025-11-12,买一主买，成功率56.16%,6.57,10.0503,2524171.2,53176894.77,50652723.57,103829618.34,128085466.0,1.970692912184,81.062763467637,1.1893,3058214151.42,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0456621,21.00456621,,
51,000632,三木集团,2025-11-10,3家机构买入，成功率46.33%,5.43,9.919,34915317.27,159324759.07,124409441.8,283734200.87,976103429.0,3.577010000443,29.068046729503,16.2821,2527565120.58,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.94475138,20.99447514,,
52,000633,合金投资,2025-11-14,浙江资金买入，成功率35.63%,8.23,10.0267,41961808.38,117792324.38,75830516.0,193622840.38,724602897.0,5.791007537195,26.721234648887,18.7597,3169401994.29,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
53,000638,*ST万方,2025-11-12,主力做T，成功率45.39%,5.8,-5.0736,-15640683.24,36292807.0,51933490.24,88226297.24,407889388.0,-3.834540368086,21.629956511641,0.4572,1798844485.8,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-1.20689655,-6.20689655,,
54,000638,*ST万方,2025-11-07,主力做T，成功率42.43%,6.77,-5.0491,-15358706.0,37237709.0,52596415.0,89834124.0,298743650.0,-5.141098731304,30.07063882362,13.3985,2099685718.77,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-5.02215657,-9.74889217,-19.64549483,
55,000638,*ST万方,2025-11-04,西藏自治区资金买入，成功率26.92%,7.9,4.7745,-7077659.59999999,66943292.0,74020951.6,140964243.6,742690948.0,-0.952975072479,18.980202193066,18.9539,2450150247.9,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.93670886,-9.74683544,-22.65822785,
56,000657,中钨高新,2025-11-05,2家机构买入，成功率26.96%,25.05,10.0132,21882255.37,781954408.32,760072152.95,1542026561.27,4175748668.0,0.524031906846,36.928145917569,12.1801,36181699435.95,日涨幅偏离值达到7%的前5只证券,0.1996008,-1.39720559,-9.14171657,
57,000686,东北证券,2025-11-10,主力做T，成功率46.69%,10.2,10.0324,-45683309.8,305871398.42,351554708.22,657426106.64,2000718096.0,-2.283345659308,32.859507191662,8.6067,23872619733.0,日涨幅偏离值达到7%的前5只证券,1.17647059,-1.19949415,,
58,000688,国城矿业,2025-11-11,1家机构买入，成功率31.44%,23.01,9.9904,22857129.3,337494004.18,314636874.88,652130879.06,1687799712.0,1.354256025611,38.637930461977,4.5141,25895286050.01,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.6505867,5.99739244,,
59,000688,国城矿业,2025-11-04,3家机构卖出，成功率57.37%,16.45,-10.0109,11033971.41,137665086.08,126631114.67,264296200.75,519174460.0,2.125291642813,50.907011248204,2.7093,18512709931.45,日跌幅偏离值达到7%的前5只证券,9.4224924,7.41641337,39.87841945,
60,000700,模塑科技,2025-11-13,2家机构卖出，成功率44.36%,9.85,-5.4702,1830733.39,63244205.67,61413472.28,124657677.95,790653122.0,0.231546975413,15.766418228347,8.7345,9042451581.65,日跌幅偏离值达到7%的前5只证券,-1.4213198,,,
61,000736,*ST中地,2025-11-06,普通席位买入，成功率48.33%,6.81,4.9307,6663887.16,15384832.16,8720945.0,24105777.16,29170779.0,22.84439219124,82.636727527914,0.2097,4911821766.45,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.99265786,-8.22320117,-11.01321586,
62,000736,*ST中地,2025-11-03,1家机构买入，成功率25.32%,5.89,4.9911,-29037155.0,23393223.0,52430378.0,75823601.0,255894736.0,-11.347304541661,29.630777946132,0.3908,4248257005.05,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,4.92359932,10.18675722,6.11205433,
63,000753,漳州发展,2025-11-06,2家机构卖出，成功率38.59%,9.11,-9.9802,-105631179.53,90139217.0,195770396.53,285909613.53,1426714330.0,-7.403807287055,20.039723967026,15.4265,9032392556.81,日跌幅偏离值达到7%的前5只证券,9.98902305,10.97694841,11.19648738,
64,000753,漳州发展,2025-11-05,2家机构买入，成功率52.47%,10.12,10.0,89290621.34,270618093.7,181327472.36,451945566.06,2157437929.0,4.138734196695,20.9482534809,17.4072,10033788438.52,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.98023715,-0.98814229,-4.743083,
65,000797,中国武夷,2025-11-04,2家机构买入，成功率44.50%,3.42,9.9678,-9920823.09,161752540.82,171673363.91,333425904.73,1392619601.0,-0.712385714152,23.942353280866,9.7062,5371357843.98,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.67836257,-8.77192982,0.29239766,
66,000799,酒鬼酒,2025-11-10,2家机构买入，成功率38.31%,65.92,9.995,150329416.79,320165811.16,169836394.37,490002205.53,2062576644.0,7.288428152588,23.756799872403,9.978,21417439641.6,日涨幅偏离值达到7%的前5只证券,0.86468447,-0.45509709,,
67,000820,*ST节能,2025-11-04,2家机构买入，成功率30.06%,2.96,1.3699,-5379576.28,24412283.84,29791860.12,54204143.96,167948623.0,-3.203108298185,32.274241367254,7.0959,879021955.92,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,5.06756757,10.47297297,14.18918919,
68,000833,粤桂股份,2025-11-14,1家机构买入，成功率33.32%,24.22,9.9909,-6900367.15999997,353761336.36,360661703.52,714423039.88,2681753815.0,-0.257308002002,26.640142576995,26.1163,10988663069.72,日涨幅偏离值达到7%的前5只证券,,,,
69,000833,粤桂股份,2025-11-14,2家机构买入，成功率27.55%,24.22,9.9909,-41156306.52,959205098.0,1000361404.52,1959566502.52,7410434373.0,-0.555383186038,26.443341967371,26.1163,10988663069.72,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
70,000833,粤桂股份,2025-11-12,2家机构买入，成功率47.84%,20.65,10.016,95821419.75,409787105.67,313965685.92,723752791.59,1963527151.0,4.880065941599,36.859831106558,22.1556,9368946836.9,日涨幅偏离值达到7%的前5只证券,6.63438257,17.28813559,,
71,000892,欢瑞世纪,2025-11-04,3家机构买入，成功率38.27%,8.3,5.7325,-97071118.82,130869339.68,227940458.5,358809798.18,1656939949.0,-5.858457265068,21.654966940507,28.8121,5899942568.2,日振幅值达到15%的前5只证券,-1.80722892,-9.03614458,-9.15662651,
72,000892,欢瑞世纪,2025-11-03,普通席位买入，成功率48.21%,7.85,9.944,66448656.44,194847736.8,128399080.36,323246817.16,1348541999.0,4.927444342799,23.970096400387,8.6241,5580066163.9,连续三个交易日内，涨幅偏离值累计达到20%的证券,5.73248408,3.82165605,-4.33121019,
73,000901,航天科技,2025-11-03,2家机构买入，成功率49.65%,20.98,10.0157,273029846.13,391969013.46,118939167.33,510908180.79,2048108354.0,13.330830158315,24.945368724862,12.8531,16746097133.38,日涨幅偏离值达到7%的前5只证券,1.28693994,-1.28693994,-4.71877979,
74,000905,厦门港务,2025-11-06,2家机构卖出，成功率8.59%,10.5,-10.0257,-61117466.98,66265722.72,127383189.7,193648912.42,991687138.0,-6.162978689354,19.527218313081,12.3806,7788985018.5,日跌幅偏离值达到7%的前5只证券,3.33333333,3.52380952,5.80952381,
75,000908,*ST景峰,2025-11-13,1家机构买入，成功率64.67%,8.62,4.9939,14983031.46,95789537.95,80806506.49,176596044.44,1013779819.0,1.477937435644,17.419565977768,8.1731,7583654905.62,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,4.98839907,,,
76,000955,欣龙控股,2025-11-03,2家机构买入，成功率42.64%,6.82,10.0,73664680.41,130631553.41,56966873.0,187598426.41,529963139.0,13.899963033089,35.39839143605,9.5689,3669112089.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,3.66568915,3.07917889,-4.54545455,
77,000962,东方钽业,2025-11-10,1家机构卖出，成功率37.98%,28.02,-9.9904,-94310384.01,180171183.0,274481567.01,454652750.01,1287727530.0,-7.323784093519,35.306595488411,8.8817,14056635787.5,日跌幅偏离值达到7%的前5只证券,-0.14301054,-5.6846623,,
78,000972,*ST中基,2025-11-14,2家机构买入，成功率26.67%,4.25,2.4096,-11137324.12,28778149.0,39915473.12,68693622.12,375203319.0,-2.9683437102,18.308372725242,6.19,3277955210.75,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
79,000985,大庆华科,2025-11-12,1家机构卖出，成功率76.99%,21.0,-1.9608,-30030755.6,44807615.4,74838371.0,119645986.4,459409591.0,-6.536815118429,26.043423721208,16.1087,2722429500.0,日振幅值达到15%的前5只证券,-2.14285714,-4.61904762,,
80,000993,闽东电力,2025-11-11,1家机构卖出，成功率44.02%,14.48,-5.2976,-112479509.13,195461102.15,307940611.28,503401713.43,1620736253.0,-6.940025492846,31.060063751779,23.9301,6367544842.56,日振幅值达到15%的前5只证券,-3.66022099,-2.00276243,,
81,000993,闽东电力,2025-11-05,1家机构买入，成功率30.73%,12.84,10.0257,50318607.8,208831358.23,158512750.43,367344108.66,1135199711.0,4.432577573128,32.359425843793,14.8659,5646358824.48,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.96884735,8.25545171,8.64485981,
82,001203,大中矿业,2025-11-14,主力做T，成功率32.78%,28.08,9.9882,66448969.94,386862574.58,320413604.64,707276179.22,1815435553.0,3.6602219137,38.959035370395,2.3885,36231316018.56,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
83,001203,大中矿业,2025-11-07,4家机构买入，成功率25.33%,23.34,8.8619,-174838956.04,657611406.4,832450362.44,1490061768.84,4730110920.0,-3.696297169285,31.501624254511,7.0423,30115346006.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,4.58440446,3.34190231,20.30848329,
84,001209,洪兴股份,2025-11-13,主力做T，成功率32.13%,22.47,-4.383,-2495414.21000001,120343619.1,122839033.31,243182652.41,1645273646.0,-0.151671681855,14.780681195571,18.8063,2159246470.92,连续三个交易日内，跌幅偏离值累计达到20%的证券,-3.33778371,,,
85,001209,洪兴股份,2025-11-12,西藏自治区资金卖出，成功率25.18%,23.5,-9.9962,-8578408.85,41006610.0,49585018.85,90591628.85,440384530.0,-1.94793601174,20.571028880147,19.2488,2258223946.0,日跌幅偏离值达到7%的前5只证券,-4.38297872,-7.57446809,,
86,001209,洪兴股份,2025-11-11,广东资金卖出，成功率23.12%,26.11,-9.9655,-16278045.13,65329925.05,81607970.18,146937895.23,803762386.0,-2.025231015227,18.281260455749,30.3445,2509030945.96,日跌幅偏离值达到7%的前5只证券,-9.99617005,-13.94101877,,
87,001209,洪兴股份,2025-11-11,广东资金卖出，成功率23.12%,26.11,-9.9655,-16278045.13,65329925.05,81607970.18,146937895.23,803762386.0,-2.025231015227,18.281260455749,30.3445,2509030945.96,日振幅值达到15%的前5只证券,-9.99617005,-13.94101877,,
88,001209,洪兴股份,2025-11-10,主力做T，成功率15.86%,29.0,10.0152,-67798362.6,102288026.8,170086389.4,272374416.2,741155677.0,-9.147654764574,36.749960184141,14.9429,2786744444.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.96551724,-18.96551724,,
89,001209,洪兴股份,2025-11-06,主力做T，成功率9.77%,23.96,10.0092,-11638944.0,111786458.2,123425402.2,235211860.4,555859006.0,-2.093866227653,42.315021950009,15.2143,2302427478.56,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01669449,21.03505843,-6.21869783,
90,001255,博菲电气,2025-11-05,主力做T，成功率16.67%,39.79,10.0083,10626068.0,88811755.0,78185687.0,166997442.0,509887058.0,2.084004258057,32.751849528215,10.9121,3125743240.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-6.5343051,-5.67981905,-13.52098517,
91,001266,宏英智能,2025-11-14,1家机构买入，成功率29.91%,36.27,10.0091,-18537387.16,102079693.44,120617080.6,222696774.04,672687172.0,-2.755721817154,33.105547914328,21.9891,2092269841.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
92,001277,速达股份,2025-11-14,1家机构卖出，成功率37.89%,43.96,-9.9918,-33900417.07,25860951.1,59761368.17,85622319.27,455192555.0,-7.44748935316,18.810131740841,22.4999,1995028811.16,日跌幅偏离值达到7%的前5只证券,,,,
93,001277,速达股份,2025-11-13,主力做T，成功率10.59%,48.84,10.0,-1179344.40000001,131698807.6,132878152.0,264576959.6,807664754.0,-0.146019049879,32.758264897616,22.1099,2216496977.64,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.99180999,,,
94,001282,三联锻造,2025-11-13,主力做T，成功率21.86%,23.4,-6.25,2120359.77,22308877.35,20188517.58,42497394.93,369953124.0,0.573142820656,11.487237753397,20.4361,1829056320.0,日跌幅偏离值达到7%的前5只证券,-4.23076923,,,
95,001298,好上好,2025-11-13,3家机构买入，成功率41.52%,36.38,1.3935,-158663573.89,184754736.29,343418310.18,528173046.47,2393596566.0,-6.628668178412,22.0660847351,39.2123,5991039482.4,日换手率达到20%的前5只证券,1.42935679,,,
96,001299,美能能源,2025-11-03,3家机构卖出，成功率61.32%,12.23,-3.4728,-19427952.01,29146359.59,48574311.6,77720671.19,178499612.0,-10.884030386576,43.541086907237,6.5122,2671043239.37,日振幅值达到15%的前5只证券,-1.22649223,0.73589534,2.94358136,
97,001309,德明利,2025-11-10,2家机构买入，成功率51.65%,282.74,5.8912,272605681.33,2689111191.88,2416505510.55,5105616702.43,15028007107.0,1.813984245476,33.974010433172,12.5552,45486061296.42,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.93909599,2.94616963,,
